coin_id,weighted_avg_score,top_wallet_balance,top_wallet_count,total_balance,total_wallets,mean_score,score_std,score_count,top_wallet_balance_pct,top_wallet_count_pct,composite_score,avg_wallet_balance,score_confidence,market_cap,market_cap_filled,coin_return
0037051e-677f-439f-9353-4dc896fe9ecd,0.021610806944605647,0.0,0,144280.94,16,0.017913850777906963,0.07165540311162785,16,0.0,0.0,0.008644322777842259,9017.55859375,0.757464374963667,4024121,4024121,0.25881004
0230c71c-612a-432f-8903-d8aacdf29fce,0.2228251129595666,15200.788,1,26930.293,10,0.0672210253257874,0.14423573621878968,10,0.5644494,0.1,0.2884648740374338,2693.029296875,0.6984886554222364,882074,882074,2.6230965
0550485d-fa4a-4e00-ba26-acb3ce4c65d2,0.11936719121445505,18558.24,1,101967.734,6,0.12614229238098837,0.19756629232600073,6,0.1820011,0.16666666666666666,0.1523472084180883,16994.622395833332,0.6220355269907728,4234425,4234425,0.21431315
07266254-25a6-4ee8-a788-4574d73e50ac,0.03963402011959098,0.0,0,922569.2,9,0.03820523685985433,0.11461571057956299,9,0.0,0.0,0.015853608047836393,102507.6875,0.683772233983162,2722567,2722567,-0.15707684
07277562-658e-4080-8537-1b2148eeb85e,0.36696714812008263,233733.47,3,284426.88,10,0.16468514756753622,0.2147554751385077,10,0.82177,0.3,0.48331786892210526,28442.6875,0.6984886554222364,1809311,1809311,0.18061411
08abc553-c35d-4781-beca-d06d95b55d45,0.08796074019376103,14287.4,2,69324.69,15,0.05891247366583031,0.1556100025834215,15,0.20609398,0.13333333333333333,0.137012492126241,4621.645833333333,0.75,754623,754623,1.3621228
0de2ec3e-038f-4ce1-96f2-15c0884bc104,0.0,0.0,0,44440.305,6,0.0,0.0,6,0.0,0.0,0.0,7406.717447916667,0.6220355269907728,1891615,1891615,-0.41161412
0ed66acf-ec5a-4e8b-9372-c54a702e29c5,0.001438773155880798,0.0,0,286782.44,7,0.034637862087604165,0.0916431690307532,7,0.0,0.0,0.0005755092623523192,40968.919642857145,0.6464466094067263,2866122,2866122,0.081288695
106121c4-42d5-4ee6-b7f1-65a7a7c75ca8,0.12632333866291212,3347.648,2,11281.911,6,0.13133444853110599,0.20453600006077832,6,0.29672703,0.3333333333333333,0.23954744937631672,1880.3185221354167,0.6220355269907728,1507885,1507885,-0.017056048
11d1aade-172f-4b58-9d66-0acdd877f7c7,8.994958521982113e-05,0.0,0,140771.7,8,0.0378462599973838,0.10704538834679701,8,0.0,0.0,3.5979834087928454e-05,17596.462890625,0.6666666666666667,3548381,3548381,-0.18332571
1708bf6d-c24a-4b71-828b-015b2905434b,0.001228384325906614,439.93387,1,159486.95,14,0.07727375244352812,0.15425199503006443,14,0.0027584317,0.07142857142857142,0.02274745468478404,11391.925223214286,0.7418011102528389,3677552,3677552,0.14406323
184d124c-d38a-4669-93ff-25dda20901d8,0.024664167858176284,0.0,0,148918.62,8,0.041334274723491396,0.1169109838096339,8,0.0,0.0,0.009865667143270515,18614.828125,0.6666666666666667,2683624,2683624,0.011506319
193b3503-029a-430d-981b-09d8f2c8f763,0.2331009595696051,171480.33,3,329897.28,14,0.10703954991951649,0.17946147714202576,14,0.5197992,0.21428571428571427,0.3134658559375004,23564.09151785714,0.7418011102528389,1236321,1236321,0.06184864
1cf52528-702d-4f9b-8c27-1ece8c133244,0.0,0.0,0,132625.22,5,0.0,0.0,5,0.0,0.0,0.0,26525.04375,0.5917517095361369,958552,958552,0.15358222
1e166b0d-443a-49ff-9476-8f2c0f7a7a0e,0.08752934321542759,0.0,0,80702.53,5,0.06649879370126394,0.148695823137761,5,0.0,0.0,0.03501173728617104,16140.50625,0.5917517095361369,2989210,2989210,0.16543007
1e98d2d4-e499-4996-8daf-4d1d9c5d6343,0.014589603374225983,0.0,0,537407.56,11,0.0433883252925087,0.09846061339104113,11,0.0,0.0,0.005835841349690393,48855.232954545456,0.7113248654051871,2487202,2487202,1.9550011
1f90899c-6847-41c9-9220-d6dff5ae720a,0.09924828782312074,61539.39,2,247406.16,17,0.047407787957392054,0.13386111453496333,17,0.24873832,0.11764705882352941,0.14961493136105442,14553.30330882353,0.7642977396044841,2749600,2749600,0.7831516
21c9f07e-3fd5-4e77-8008-40db49a41bcb,0.19678333788954974,145028.39,1,392330.44,10,0.071869762354659,0.16447985216399036,10,0.36965877,0.1,0.21961097305951024,39233.04375,0.6984886554222364,4546087,4546087,-0.11841613
21f612c1-7207-489e-bfbe-15a3e6744d21,0.0,0.0,0,406382.38,7,0.0,0.0,7,0.0,0.0,0.0,58054.625,0.6464466094067263,3520635,3520635,0.12632954
2b5050a3-4558-4cba-be44-973a4a6dadd9,0.16298178951176723,3660.896,1,91727.14,9,0.08446159663542241,0.16797940985069543,9,0.03991072,0.1111111111111111,0.11049926533642498,10191.904513888889,0.683772233983162,3772191,3772191,0.30718386
30feb551-3123-482a-9af7-9b0de9e58fa9,0.009076180325785678,0.0,0,468219.8,12,0.02700940059007978,0.09356330820799799,12,0.0,0.0,0.003630472130314271,39018.317708333336,0.7226499018873854,2176963,2176963,0.13615513
335adea9-5e72-4448-a9b2-99a0736c1747,0.12361449327876906,18138.19,1,60828.23,8,0.051819194150213486,0.14656681431695293,8,0.29818702,0.125,0.17640190850421086,7603.52880859375,0.6666666666666667,791479,791479,0.11289346
38302dbb-09f0-4a98-9fd5-0245df608e1d,0.10182714523250949,25329.885,3,102137.15,12,0.10047259472975874,0.18195828003410158,12,0.24799874,0.25,0.19013048583815534,8511.429036458334,0.7226499018873854,3021769,3021769,-0.037302554
3a0b4b4c-4b68-4eb1-97d0-1ff9bd2f4e25,0.0,0.0,0,73172.44,16,0.0,0.0,16,0.0,0.0,0.0,4573.27734375,0.757464374963667,3000585,3000585,0.0847981
3a2cdec0-9a34-4ba6-8720-e6162f8bb969,0.0020832504753251387,0.0,0,123047.555,8,0.030308129326653645,0.08572433508782265,8,0.0,0.0,0.0008333001901300555,15380.9443359375,0.6666666666666667,4927700,4927700,0.21627498
49e84394-edda-492e-afe0-4f8eddd33e49,0.0,0.0,0,182880.5,7,0.0,0.0,7,0.0,0.0,0.0,26125.785714285714,0.6464466094067263,3584944,3584944,0.08897734
4e52eaa9-4576-4a62-ad2f-f513ea93b43d,0.03377403095487609,0.0,0,45318.22,7,0.04969581394530003,0.13148276490019953,7,0.0,0.0,0.013509612381950437,6474.03125,0.6464466094067263,1959597,1959597,0.44020736
50d139c5-5c8a-4c8e-a220-8037821e363a,0.05080424863036694,0.0,0,49481.66,5,0.06957413952342004,0.15557250545042203,5,0.0,0.0,0.020321699452146777,9896.33203125,0.5917517095361369,1641408,1641408,-0.05139762
530e8ee7-1c8c-4a77-8d00-f0d5ab3aa9ec,0.13001291237093351,30545.059,2,97393.805,8,0.10095233244919338,0.18701559863113382,8,0.31362423,0.25,0.22109243783083493,12174.2255859375,0.6666666666666667,652051,652051,0.018107653
593c0b25-5e79-4c5b-8b43-b64e0e85271b,0.0,0.0,0,132095.05,6,0.0,0.0,6,0.0,0.0,0.0,22015.841145833332,0.6220355269907728,2219877,2219877,-0.028089046
59bc1fee-d7b7-4369-8cdc-5b25a3ab18a0,0.0,0.0,0,127386.164,11,0.0,0.0,11,0.0,0.0,0.0,11580.560369318182,0.7113248654051871,2062133,2062133,0.027053237
5ae3f751-22f3-448f-8b84-cb182c9f7a39,0.0,0.0,0,282866.47,6,0.0,0.0,6,0.0,0.0,0.0,47144.411458333336,0.6220355269907728,1064295,1064295,0.008911848
5ca50871-f4ef-429a-88b6-c524e0bde5fb,0.07367404100626049,0.0,0,251058.97,10,0.08689090070080782,0.14154772153064651,10,0.0,0.0,0.029469616402504197,25105.896875,0.6984886554222364,1368365,1368365,0.081293106
60271d3e-3b65-46ed-b185-739edb4ff38b,0.0,0.0,0,103871.97,7,0.0,0.0,7,0.0,0.0,0.0,14838.85267857143,0.6464466094067263,1645101,1645101,0.06709075
6267c4b3-4f70-45b9-8574-9028d53775ee,0.0,0.0,0,35659.324,6,0.0,0.0,6,0.0,0.0,0.0,5943.220703125,0.6220355269907728,2186059,2186059,0.08702767
673cc863-2517-417f-8fc1-e96f9a0f10c4,0.0,0.0,0,33221.996,6,0.0,0.0,6,0.0,0.0,0.0,5536.999348958333,0.6220355269907728,1074139,1074139,0.0008829832
67d3acc7-56f4-4ce5-8db1-cf6c9e8cd994,0.14110963621778377,22675.54,1,95429.86,11,0.05994561871160395,0.1399277419760963,11,0.23761472,0.09090909090909091,0.1550010025481289,8675.441761363636,0.7113248654051871,1219473,1219473,0.0048662424
68e0f235-e532-4258-bdb6-6281b8ffbf41,0.06433008180661905,23493.121,2,148540.38,6,0.1344809659564052,0.2087566022211158,6,0.15815984,0.3333333333333333,0.17317998609584134,24756.729166666668,0.6220355269907728,2347920,2347920,0.38693845
6a2630b1-c913-4290-81fc-4a5aa69d02c1,0.0,0.0,0,88303.96,7,0.0,0.0,7,0.0,0.0,0.0,12614.8515625,0.6464466094067263,2034304,2034304,0.4255929
6ceefb20-5c0c-4a75-8845-9c9b154a52e2,0.0,0.0,0,198139.83,12,0.0,0.0,12,0.0,0.0,0.0,16511.65234375,0.7226499018873854,2257766,2257766,0.44728506
6d8d10be-c3d5-4581-9e7a-58f250de5eb6,0.049749582174338024,0.0,0,20544.473,5,0.06957413952342004,0.15557250545042203,5,0.0,0.0,0.01989983286973521,4108.89453125,0.5917517095361369,1277073,1277073,0.2001158
6e0aa0d7-093c-4e01-beb1-faa6351a1136,0.07835609560987629,10913.82,1,57741.043,6,0.06909225886695132,0.16924077940031734,6,0.18901321,0.16666666666666666,0.13804640435489526,9623.507161458334,0.6220355269907728,2985079,2985079,1.3712692
6ebfe4ba-bd62-4001-876d-7aa14c478f19,0.007534440895270093,1876.9084,2,100283.266,14,0.05684004297047054,0.1444972112918506,14,0.018716069,0.14285714285714285,0.05148574008302776,7163.090401785715,0.7418011102528389,1562613,1562613,0.017815351
703db730-eb6a-4832-9951-fcb78ab442c7,0.3004029092083435,41336.48,1,165090.33,8,0.1302059070671544,0.17986611910305578,8,0.25038704,0.125,0.2327772765115921,20636.291015625,0.6666666666666667,1796213,1796213,-0.031826496
7307eae3-529f-4c14-98c9-577e468c898d,0.0,0.0,0,467903.22,10,0.0,0.0,10,0.0,0.0,0.0,46790.321875,0.6984886554222364,4492327,4492327,0.022231936
74bf1e60-cd90-4f16-9e0c-1c6aeaf1f74e,0.005286827362869425,0.0,0,59754.875,7,0.03464294161221545,0.0916566081896531,7,0.0,0.0,0.00211473094514777,8536.410714285714,0.6464466094067263,2462891,2462891,0.33269405
75489501-603d-4fa0-9619-d14238f1ce5f,0.12946816003460201,30913.627,1,109401.44,5,0.0916359820201149,0.20490428498192542,5,0.28257057,0.2,0.19655843522603716,21880.2875,0.5917517095361369,3464281,3464281,0.44907224
75c43ccf-5326-4b5f-a23d-5e00264e18d3,0.02107950756653102,0.0,0,409459.5,6,0.03963907984755038,0.09709551949993804,6,0.0,0.0,0.008431803026612408,68243.25,0.6220355269907728,4633721,4633721,0.26720345
76c2afa3-28f5-4722-ad47-55221bb02094,0.03955131030387705,2249.4736,1,22122.82,6,0.06482898326475103,0.15879792954206998,6,0.10168114,0.16666666666666666,0.09632486815276553,3687.13671875,0.6220355269907728,4625778,4625778,0.09652233
7a694977-b5e7-4424-82e6-e9a60d9d6d92,0.028768997713852648,5358.804,1,68622.69,6,0.06140069893745265,0.15040038224700825,6,0.078090854,0.16666666666666666,0.08493485639986544,11437.114583333334,0.6220355269907728,2447921,2447921,0.046920776
7adaac4d-74bb-48ac-b908-0c746bd0b5da,0.009351312961486048,0.0,0,106054.73,9,0.033479938051309284,0.10043981415392784,9,0.0,0.0,0.0037405251845944194,11783.858506944445,0.683772233983162,3344845,3344845,-0.026768267
7b49a64e-1e99-4958-bc2b-fdba3f22d309,0.23298617923266368,52131.277,1,91578.625,6,0.06821417974420983,0.16708993359581,6,0.5692516,0.16666666666666666,0.31396995971205505,15263.104166666666,0.6220355269907728,2332699,2332699,-0.26907778
7c795271-a4f8-49ba-9ded-fe2874bef9fe,0.04348987095848033,0.0,0,91413.19,7,0.043916526611985765,0.11619220786106432,7,0.0,0.0,0.017395948383392132,13059.026785714286,0.6464466094067263,998755,998755,0.09515643
7e95ef5a-ce07-4da9-bf6e-e6c4ca89bd12,3.9929545238671543e-07,0.0,0,126482.61,6,0.057978449602850035,0.1420176176046526,6,0.0,0.0,1.597181809546862e-07,21080.434895833332,0.6220355269907728,2383689,2383689,0.07641065
7f7905ad-bf2a-476f-83d7-79f1c0bc5b7d,0.0,0.0,0,1434735.5,8,0.0,0.0,8,0.0,0.0,0.0,179341.9375,0.6666666666666667,4600844,4600844,0.09818709
8253e521-7853-4905-8c40-74c0d2d69a7e,0.0004398274489072378,0.0,0,122831.59,6,0.05362628327087223,0.13135703081558667,6,0.0,0.0,0.00017593097956289513,20471.932291666668,0.6220355269907728,1741785,1741785,-0.045684636
8582f2bb-3fa8-4eef-abca-d178d7c8462c,0.015813087049385204,5099.731,1,136458.55,14,0.08619270906083984,0.14530596873296825,14,0.037372015,0.07142857142857142,0.03896541105957667,9747.0390625,0.7418011102528389,1263168,1263168,0.1055789
868eb5ba-05bd-4a94-a43b-a92688e81e6f,0.0,0.0,0,93861.16,11,0.0,0.0,11,0.0,0.0,0.0,8532.832386363636,0.7113248654051871,1418452,1418452,-0.022144854
879f5dbf-426d-4bb2-8e49-34d97cea7c9e,0.10932556638688903,0.0,0,12862.857,5,0.06613483955758623,0.14788199693180493,5,0.0,0.0,0.043730226554755613,2572.571484375,0.5917517095361369,1972508,1972508,0.021157026
87c3b716-510d-4032-9a33-883250d43a6a,0.034803288655566596,4360.3613,1,51937.72,9,0.04606150591130088,0.13818451773390264,9,0.083953656,0.1111111111111111,0.07244074604494866,5770.857638888889,0.683772233983162,1305640,1305640,-0.0017728806
